City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,maneromango,-7.1988,38.7848,71.89,94,79,1.36,TZ,1698615710
144,pont rouge,48.8833,-72.0825,35.89,49,82,4.81,CA,1698615710
145,colonia,50.9333,6.95,56.82,75,58,1.99,DE,1698615465
146,kodiak,57.79,-152.4072,45.91,100,100,9.22,US,1698615710
147,siwa oasis,29.2041,25.5195,74.43,62,6,9.91,EG,1698615711
148,papao,-17.75,-149.55,82.08,81,3,16.73,PF,1698615711
149,hirara,24.8,125.2833,73.67,73,77,9.22,JP,1698615711
150,swan hill,-35.3378,143.5544,59.09,49,100,8.93,AU,1698615711
151,genet,9.0667,38.5,59.92,92,10,1.34,ET,1698615711
152,vashkivtsi,48.3849,25.5102,53.64,68,80,6.53,UA,1698615711
153,sitka,57.0531,-135.33,46.29,66,75,0.0,US,1698615711
154,garoowe,8.4054,48.4845,75.4,77,86,12.75,SO,1698615711
155,remire-montjoly,4.9167,-52.2667,84.24,79,0,8.05,GF,1698615712
156,iskateley,67.6803,53.1512,16.02,86,100,13.0,RU,1698615699
157,lorengau,-2.0226,147.2712,78.35,87,100,9.26,PG,1698615712
158,luderitz,-26.6481,15.1594,72.43,32,0,12.17,NA,1698615712
159,mhamid,29.82,-5.72,77.61,22,97,15.39,MA,1698615712
160,nadym,65.5333,72.5167,10.87,98,93,2.84,RU,1698615467
161,utrik,11.2278,169.8474,82.9,82,29,19.22,MH,1698615703
162,santa eularia des riu,38.9846,1.5341,68.02,76,0,10.36,ES,1698615712
163,bubaque,11.2833,-15.8333,82.87,75,18,8.75,GW,1698615713
164,saipan,15.1355,145.701,83.1,83,20,6.91,MP,1698615487
165,kristiansund,63.1115,7.732,34.45,80,0,5.75,NO,1698615713
166,kamina,-8.7386,24.9906,67.57,86,85,1.48,CD,1698615713
167,saldanha,-33.0117,17.9442,60.85,58,0,15.57,ZA,1698615713
168,kingston,17.997,-76.7936,86.95,76,20,9.22,JM,1698615713
169,port elizabeth,-33.918,25.5701,58.32,72,75,5.75,ZA,1698615713
170,mount isa,-20.7333,139.5,71.37,78,93,0.0,AU,1698615714
171,labuan,5.2767,115.2417,77.36,100,20,0.0,MY,1698615714
172,vila franca do campo,37.7167,-25.4333,59.41,99,51,5.55,PT,1698615486
173,jatiroto,-7.8833,111.1167,73.67,87,41,3.2,ID,1698615714
174,rreshen,41.7675,19.8756,59.97,69,0,4.45,AL,1698615714
175,bijawar,24.6333,79.5,67.19,46,7,3.04,IN,1698615714
176,san antonio de pale,-1.4014,5.6325,79.63,82,4,9.17,GQ,1698615714
177,at taraf,25.3628,49.725,77.54,80,72,3.36,SA,1698615714
178,daru,-9.0763,143.2092,77.68,87,100,16.71,PG,1698615715
179,uturoa,-16.7333,-151.4333,79.18,79,15,13.89,PF,1698615715
180,lyozna,55.0249,30.7956,31.26,89,100,10.42,BY,1698615715
181,klyuchi,52.2667,79.1667,31.1,92,100,3.02,RU,1698615715
182,al burayqah,30.4062,19.5739,74.17,70,3,11.92,LY,1698615715
183,prabumulih,-3.45,104.25,69.6,93,14,3.15,ID,1698615715
184,i-n-salah,27.1935,2.4607,85.08,16,87,5.32,DZ,1698615715
185,howrah,22.5892,88.3103,73.4,88,20,3.44,IN,1698615716
186,iqaluit,63.7506,-68.5145,19.13,68,75,11.5,CA,1698615716
187,ola,59.5833,151.2833,28.18,67,14,4.74,RU,1698615716
188,kibre mengist,5.8833,38.9833,58.26,98,86,1.16,ET,1698615716
189,tazovsky,67.4667,78.7,3.15,94,14,2.66,RU,1698615716
190,canico,32.6333,-16.85,70.72,82,40,9.22,PT,1698615716
191,crane,31.3974,-102.3501,39.78,82,100,20.85,US,1698615717
192,illapel,-31.6308,-71.1653,64.0,61,15,7.2,CL,1698615717
193,sirjan,29.452,55.6814,63.39,51,37,5.48,IR,1698615717
194,sai buri,6.7013,101.6168,76.66,87,86,3.2,TH,1698615717
195,pimentel,-6.8367,-79.9342,75.49,69,0,24.16,PE,1698615717
196,maxixe,-23.8597,35.3472,69.44,77,100,18.57,MZ,1698615717
197,ust-nera,64.5667,143.2,-0.62,97,60,1.54,RU,1698615696
198,saijo,33.9167,133.1833,54.14,76,9,3.89,JP,1698615718
199,les cayes,18.2,-73.75,82.98,72,81,6.13,HT,1698615718
200,arteche,12.2645,125.4048,79.16,89,100,9.42,PH,1698615718
201,antsohihy,-14.8796,47.9875,78.42,80,2,3.36,MG,1698615718
202,charters towers,-20.1,146.2667,71.92,52,42,10.22,AU,1698615718
203,pocone,-16.2567,-56.6228,85.98,53,77,4.54,BR,1698615718
204,punta arenas,-53.15,-70.9167,46.51,57,40,16.11,CL,1698615694
205,gumrak,48.7826,44.3824,39.11,100,0,6.71,RU,1698615502
206,kazanlak,42.6167,25.4,53.17,69,0,1.25,BG,1698615719
207,badger,64.8,-147.5333,34.72,76,75,4.61,US,1698615489
208,warner robins,32.621,-83.5999,84.36,46,0,6.91,US,1698615719
209,ulsteinvik,62.3432,5.8487,41.76,57,0,13.0,NO,1698615719
210,newman,37.3138,-121.0208,70.23,29,0,5.01,US,1698615719
211,peterhead,57.5058,-1.7981,46.8,74,100,19.71,GB,1698615719
212,vinh,18.6667,105.6667,73.31,96,99,10.92,VN,1698615720
213,gornozavodsk,58.3758,58.3211,24.08,80,100,15.12,RU,1698615720
214,darwin,-12.4611,130.8418,80.94,84,75,3.0,AU,1698615720
215,kyosai,34.8503,128.5886,48.16,73,7,2.26,KR,1698615720
216,jamestown,42.097,-79.2353,48.02,95,100,5.75,US,1698615461
217,st. john's,47.5649,-52.7093,44.15,71,75,19.57,CA,1698615712
218,cape coast,5.1053,-1.2466,79.63,85,9,6.15,GH,1698615721
219,port-gentil,-0.7193,8.7815,79.39,87,32,10.58,GA,1698615721
220,cedeira,43.6797,-8.0209,54.37,77,100,19.3,ES,1698615721
221,veinticinco de mayo,-35.4323,-60.1727,68.99,75,100,7.0,AR,1698615721
222,belem de sao francisco,-8.7539,-38.9658,87.51,32,21,22.28,BR,1698615721
223,pohrebyshche,49.4864,29.2636,51.66,65,66,10.36,UA,1698615721
224,dellys,36.9172,3.9131,69.55,70,96,3.71,DZ,1698615722
225,cavelossim,15.1726,73.9419,79.27,81,90,2.93,IN,1698615722
226,steinkjer,64.193,11.3851,22.14,80,100,1.79,NO,1698615722
227,atafu village,-8.5421,-172.5159,84.09,71,97,11.05,TK,1698615722
228,san matias,-16.3667,-58.4,89.51,46,66,6.91,BO,1698615722
229,tadine,-21.55,167.8833,71.67,56,13,11.81,NC,1698615723
230,ovalle,-30.5983,-71.2003,67.96,47,7,8.3,CL,1698615723
231,karratha,-20.7377,116.8463,81.01,59,94,5.7,AU,1698615723
232,shirvan,39.9509,48.8994,68.59,45,92,9.17,AZ,1698615723
233,berdigestyakh,62.0989,126.6992,-9.58,100,76,2.04,RU,1698615723
234,midvagur,62.0511,-7.1939,41.83,75,75,4.61,FO,1698615724
235,kyabe,9.4515,18.9449,74.7,78,55,3.4,TD,1698615724
236,afaahiti,-17.75,-149.2833,80.47,82,36,14.65,PF,1698615490
237,marabba,12.35,32.1833,77.97,70,66,8.16,SD,1698615724
238,boyolangu,-8.1181,111.8935,74.05,93,73,2.15,ID,1698615724
239,balaklava,44.5,33.6,61.97,54,0,5.03,UA,1698615724
240,quibdo,5.6947,-76.6611,82.74,78,75,8.05,CO,1698615724
241,wisch,51.9265,6.4171,54.05,84,23,4.0,NL,1698615725
242,pandan,14.0453,124.1694,81.03,81,84,13.11,PH,1698615725
243,tongging,2.8969,98.5262,67.91,92,100,0.85,ID,1698615725
244,la'ie,21.6477,-157.9253,85.1,69,3,5.01,US,1698615725
245,leticia,-4.2153,-69.9406,73.45,94,75,4.61,CO,1698615725
246,al artawiyah,26.5053,45.3444,73.42,28,100,6.44,SA,1698615725
247,piacabucu,-10.4056,-36.4344,75.18,77,76,9.75,BR,1698615726
248,holualoa,19.6228,-155.9522,82.54,73,20,10.36,US,1698615726
249,mount pleasant,32.7941,-79.8626,82.54,75,0,9.22,US,1698615703
250,mount pearl,47.5166,-52.7813,43.32,71,75,19.57,CA,1698615710
251,hami,42.8,93.45,51.49,40,78,3.18,CN,1698615726
252,guerrero negro,27.9769,-114.0611,74.32,53,0,13.78,MX,1698615727
253,kulhudhuffushi,6.6221,73.07,81.41,73,100,7.43,MV,1698615727
254,hobyo,5.3505,48.5268,75.38,95,100,5.48,SO,1698615727
255,amungan,15.3652,119.9582,78.51,77,30,4.23,PH,1698615727
256,chiang kham,19.5233,100.3,69.28,97,100,1.99,TH,1698615727
257,khandyga,62.6667,135.6,20.26,97,100,1.83,RU,1698615728
258,aguadilla,18.4275,-67.1541,84.65,86,0,1.99,PR,1698615728
259,prainha,-1.8,-53.48,89.94,39,17,5.06,BR,1698615728
